Horizonte,Modelo,N_Janelas,Coseno_Assinado_Consecutivo_Medio,Coseno_Absoluto_Consecutivo_Medio,Jaccard_Top5_Consecutivo_Medio
H1,Ridge Contábil,30,0.9912204048333888,0.9926080413280284,0.9080459770114943
H1,Ridge + Brent e Câmbio,30,0.9969342133748825,0.9971393943013606,0.9113300492610839
H2,Ridge Contábil,30,0.9863361445934319,0.9866738960842801,0.825944170771757
H2,Ridge + Brent e Câmbio,30,0.9940678055395856,0.9945259031851074,0.9195402298850573
H3,Ridge Contábil,30,0.9672903362324825,0.9734971328435559,0.8259441707717569
H3,Ridge + Brent e Câmbio,30,0.9905272225279259,0.9911865208879455,0.8768472906403941
H4,Ridge Contábil,30,0.9558187378098136,0.9634342857370197,0.7996715927750411
H4,Ridge + Brent e Câmbio,30,0.9982124561105508,0.9983529863555763,0.9573070607553366
