Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Feature,Beta_Padronizado,Importancia_Normalizada,Rank_Importancia
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=DISTRIBUIÇÃO,782.0041027399623,0.024999304705474575,12
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=E&P,919.1728049722694,0.029384348429855434,11
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=GÁS & ENERGIA / G&EBC,284.0569440756318,0.009080804146386968,22
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=INTERNACIONAL,240.95081298661333,0.007702776458306101,25
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=REFINO / RTC,2331.047401354376,0.07451951219332748,3
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Custo_t,14782.420714505864,0.43255403803567877,1
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Custo_t_1,-594.948441167384,0.017409012746975306,11
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Custo_t_4,3766.040962694058,0.110199557791137,2
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Receita_t,2381.2299591962856,0.06967807602249794,4
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Receita_t_1,-2645.3529743552003,0.07740668008211837,3
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Receita_t_4,-1593.3845977961682,0.04662463308490861,6
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Despesas_t,-1175.9217567144688,0.034409094024885845,8
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Despesas_t_1,276.4785094623077,0.008090142880364127,16
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Despesas_t_4,242.05924692105455,0.007082987740758368,17
H1,Validação,54,2T19,Ridge Contábil,0.1,302,EBIT_t,-315.4673359170597,0.009231009768608352,14
H1,Validação,54,2T19,Ridge Contábil,0.1,302,EBIT_t_1,-121.56530550648851,0.0035571686665819714,20
H1,Validação,54,2T19,Ridge Contábil,0.1,302,EBIT_t_4,1237.7537098027653,0.03621838233459618,7
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Trimestre_Sin,130.37603018032948,0.0038149826342192667,19
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Trimestre_Cos,-527.7685792370635,0.0154432372414707,12
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,351.60188681146303,0.010288356613475389,13
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=DISTRIBUIÇÃO,713.9544494864964,0.020891292844606824,10
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=E&P,878.5922861787294,0.025708823237636538,9
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=GÁS & ENERGIA / G&EBC,300.9797993592736,0.00880708444810178,15
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=INTERNACIONAL,221.1647146092587,0.0064715848792862045,18
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=REFINO / RTC,1917.6762633821427,0.05611385492209254,5
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Custo_t,5472.8498594135945,0.17179288792938757,1
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Custo_t_1,1913.1240578846937,0.06005300991509673,4
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Custo_t_4,1818.4275859604495,0.05708048539743471,5
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Receita_t,3884.263636457529,0.12192712841160282,2
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Receita_t_1,1313.076417771547,0.041217500146280145,9
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Receita_t_4,1734.6220339744264,0.05444982711700858,7
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Despesas_t,-1800.890045092837,0.05652998157032084,6
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Despesas_t_1,-441.4663170246714,0.013857638245779513,20
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Despesas_t_4,-230.97290979077454,0.007250245160327249,26
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,EBIT_t,-1667.0557482250451,0.052328919791991606,8
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,EBIT_t_1,-820.2325275248162,0.025747118648748627,12
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,EBIT_t_4,337.7500403745654,0.010601981842131314,21
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Trimestre_Sin,-47.39287262771876,0.001487663404831245,29
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Trimestre_Cos,-512.079867210314,0.01607419927430334,18
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_t,657.6051153095834,0.020642240291290574,16
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_t_1,-988.8201463193466,0.031039088033224728,11
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_t_4,-119.9134556072735,0.003764086238348444,28
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_t,316.56453710799934,0.00993696838810047,22
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_t_1,-726.6580565055423,0.022809813766317903,14
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_t_4,261.2729098556016,0.008201362886760733,24
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_BRL_t,704.3771442732454,0.02211041539866423,15
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_Var_AA,565.23204330742,0.017742647352729447,17
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_Var_AA,506.86602956271463,0.015910536785895147,19
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,231.77683742977686,0.007275480468135466,25
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=DISTRIBUIÇÃO,817.9316532349378,0.02567489414978109,13
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=E&P,1020.7265868761402,0.032040631965107085,10
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=GÁS & ENERGIA / G&EBC,282.39347026538553,0.008864337782964563,23
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=INTERNACIONAL,229.46047366571645,0.007202769754203043,27
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=REFINO / RTC,2433.45274626811,0.0763861398832328,3
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Custo_t,14478.102913980907,0.43442433104077505,1
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Custo_t_1,-38.97534120925547,0.0011694789457233643,20
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Custo_t_4,3776.892224431122,0.11332796069761096,2
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Receita_t,2355.4953977966557,0.07067807975513786,4
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Receita_t_1,-2651.1048985413677,0.07954802358502383,3
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Receita_t_4,-1740.026904444942,0.05221057126389766,6
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Despesas_t,-1141.2459574821007,0.03424378280619841,8
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Despesas_t_1,231.8690487397269,0.00695737259130451,16
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Despesas_t_4,293.6510087495621,0.008811178079987885,13
H1,Validação,55,3T19,Ridge Contábil,0.1,308,EBIT_t,-249.43762108826044,0.007484528347497059,15
H1,Validação,55,3T19,Ridge Contábil,0.1,308,EBIT_t_1,-177.82427374849323,0.005335726070257626,18
H1,Validação,55,3T19,Ridge Contábil,0.1,308,EBIT_t_4,1333.149557644665,0.040001967674772154,7
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Trimestre_Sin,116.68898288260561,0.0035013242846652724,19
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Trimestre_Cos,-528.3918745187719,0.015854721297327932,11
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,367.9285178623576,0.011039920160315372,12
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Segmento=DISTRIBUIÇÃO,667.0021373438408,0.020013806991146195,10
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Segmento=E&P,823.3730631801982,0.024705812238953056,9
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Segmento=GÁS & ENERGIA / G&EBC,278.4640398995874,0.008355483793078492,14
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Segmento=INTERNACIONAL,210.68908113802317,0.00632185471223554,17
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Segmento=REFINO / RTC,1866.7866741103796,0.056014075664091834,5
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Custo_t,5509.07806802082,0.1726262390402293,1
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Custo_t_1,1911.7206136755613,0.05990351480952078,4
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Custo_t_4,1829.3955493705514,0.05732386971205632,5
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Receita_t,3910.527287861019,0.1225358599084359,2
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Receita_t_1,1330.5649701405862,0.041693078906860095,9
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Receita_t_4,1734.1832874950862,0.05434040596818896,7
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Despesas_t,-1786.2469085094838,0.05597181270731331,6
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Despesas_t_1,-409.64167892001467,0.012836068306342265,20
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Despesas_t_4,-224.99755044633363,0.0070502687468301925,26
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,EBIT_t,-1678.0951715270428,0.05258289220728958,8
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,EBIT_t_1,-799.3081911442735,0.025046217382948727,12
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,EBIT_t_4,347.0815999208218,0.010875756432313928,21
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Trimestre_Sin,-73.63845431640688,0.002307451312256303,29
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Trimestre_Cos,-505.9869266509151,0.015855034013459137,19
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Brent_t,659.223115488337,0.020656669901941985,16
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Brent_t_1,-1005.6527041534108,0.03151199564703348,10
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Brent_t_4,-97.25131322638155,0.0030473571506357006,28
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,USD_BRL_t,288.066046139235,0.009026511791304204,23
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,USD_BRL_t_1,-784.8785106307646,0.024594065235739457,14
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,USD_BRL_t_4,295.6481841082963,0.009264097090572505,22
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Brent_BRL_t,680.562033025547,0.0213253220855117,15
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Brent_Var_AA,596.6384416060879,0.018695587350477383,17
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,USD_BRL_Var_AA,541.8059379542821,0.016977418036900848,18
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,227.29883867417072,0.0071223793117584895,25
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Segmento=DISTRIBUIÇÃO,788.2618092469947,0.024700080454340207,13
