Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Y_Mean
H2,Validação,63,3T21,Ridge Contábil,0.1,335,16123.521782089552
H2,Validação,63,3T21,Ridge + Brent e Câmbio,10.0,335,16123.521782089552
H2,Validação,64,4T21,Ridge Contábil,0.1,339,16354.928604719766
H2,Validação,64,4T21,Ridge + Brent e Câmbio,10.0,339,16354.928604719766
H2,Validação,65,1T22,Ridge Contábil,0.1,343,16641.054801749273
H2,Validação,65,1T22,Ridge + Brent e Câmbio,10.0,343,16641.054801749273
H2,Validação,66,2T22,Ridge Contábil,0.1,347,16933.947541786743
H2,Validação,66,2T22,Ridge + Brent e Câmbio,10.0,347,16933.947541786743
H2,Validação,67,3T22,Ridge Contábil,0.1,351,17266.697427350427
H2,Validação,67,3T22,Ridge + Brent e Câmbio,10.0,351,17266.697427350427
H2,Validação,68,4T22,Ridge Contábil,0.1,355,17616.413512676056
H2,Validação,68,4T22,Ridge + Brent e Câmbio,10.0,355,17616.413512676056
H2,Teste,69,1T23,Ridge Contábil,0.1,359,17919.83230362117
H2,Teste,69,1T23,Ridge + Brent e Câmbio,10.0,359,17919.83230362117
H2,Teste,70,2T23,Ridge Contábil,0.1,363,18148.718449035812
H2,Teste,70,2T23,Ridge + Brent e Câmbio,10.0,363,18148.718449035812
H2,Teste,71,3T23,Ridge Contábil,0.1,367,18317.307348773844
H2,Teste,71,3T23,Ridge + Brent e Câmbio,10.0,367,18317.307348773844
H2,Teste,72,4T23,Ridge Contábil,0.1,371,18512.174654986524
H2,Teste,72,4T23,Ridge + Brent e Câmbio,10.0,371,18512.174654986524
H2,Teste,73,1T24,Ridge Contábil,0.1,375,18740.431458666666
H2,Teste,73,1T24,Ridge + Brent e Câmbio,10.0,375,18740.431458666666
H2,Teste,74,2T24,Ridge Contábil,0.1,379,18906.577300791556
H2,Teste,74,2T24,Ridge + Brent e Câmbio,10.0,379,18906.577300791556
H2,Teste,75,3T24,Ridge Contábil,0.1,383,19089.72792950392
H2,Teste,75,3T24,Ridge + Brent e Câmbio,10.0,383,19089.72792950392
H2,Teste,76,4T24,Ridge Contábil,0.1,387,19292.637718346254
H2,Teste,76,4T24,Ridge + Brent e Câmbio,10.0,387,19292.637718346254
H2,Teste,77,1T25,Ridge Contábil,0.1,391,19471.853700767264
H2,Teste,77,1T25,Ridge + Brent e Câmbio,10.0,391,19471.853700767264
H2,Teste,78,2T25,Ridge Contábil,0.1,395,19670.72606835443
H2,Teste,78,2T25,Ridge + Brent e Câmbio,10.0,395,19670.72606835443
H2,Teste,79,3T25,Ridge Contábil,0.1,399,19848.385456140353
H2,Teste,79,3T25,Ridge + Brent e Câmbio,10.0,399,19848.385456140353
H2,Teste,80,4T25,Ridge Contábil,0.1,403,20044.500736972706
H2,Teste,80,4T25,Ridge + Brent e Câmbio,10.0,403,20044.500736972706
H2,Teste,81,1T26,Ridge Contábil,0.1,407,20227.12480835381
H2,Teste,81,1T26,Ridge + Brent e Câmbio,10.0,407,20227.12480835381
H2,Teste,82,2T26,Ridge Contábil,0.1,411,20378.25498053528
H2,Teste,82,2T26,Ridge + Brent e Câmbio,10.0,411,20378.25498053528
H3,Validação,53,1T19,Ridge Contábil,0.1,282,15417.04225531915
H3,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,282,15417.04225531915
H3,Validação,54,2T19,Ridge Contábil,0.1,288,15485.933736111112
H3,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,288,15485.933736111112
H3,Validação,55,3T19,Ridge Contábil,0.1,294,15551.952095238095
H3,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,294,15551.952095238095
H3,Validação,56,4T19,Ridge Contábil,0.1,300,15571.489720000001
H3,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,300,15571.489720000001
H3,Validação,57,1T20,Ridge Contábil,0.1,304,15710.85827631579
H3,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,304,15710.85827631579
H3,Validação,58,2T20,Ridge Contábil,0.1,308,15835.13609090909
H3,Validação,58,2T20,Ridge + Brent e Câmbio,10.0,308,15835.13609090909
H3,Validação,59,3T20,Ridge Contábil,0.1,312,15834.477294871796
H3,Validação,59,3T20,Ridge + Brent e Câmbio,10.0,312,15834.477294871796
H3,Validação,60,4T20,Ridge Contábil,0.1,316,15906.072518987343
H3,Validação,60,4T20,Ridge + Brent e Câmbio,10.0,316,15906.072518987343
H3,Validação,61,1T21,Ridge Contábil,0.1,320,15983.471612500001
H3,Validação,61,1T21,Ridge + Brent e Câmbio,10.0,320,15983.471612500001
H3,Validação,62,2T21,Ridge Contábil,0.1,324,16100.04912345679
H3,Validação,62,2T21,Ridge + Brent e Câmbio,10.0,324,16100.04912345679
H3,Validação,63,3T21,Ridge Contábil,0.1,328,16291.725353658538
H3,Validação,63,3T21,Ridge + Brent e Câmbio,10.0,328,16291.725353658538
H3,Validação,64,4T21,Ridge Contábil,0.1,332,16525.98468674699
H3,Validação,64,4T21,Ridge + Brent e Câmbio,10.0,332,16525.98468674699
H3,Validação,65,1T22,Ridge Contábil,0.1,336,16816.035464285716
H3,Validação,65,1T22,Ridge + Brent e Câmbio,10.0,336,16816.035464285716
H3,Validação,66,2T22,Ridge Contábil,0.1,340,17112.899752941175
H3,Validação,66,2T22,Ridge + Brent e Câmbio,10.0,340,17112.899752941175
H3,Validação,67,3T22,Ridge Contábil,0.1,344,17450.339872093024
H3,Validação,67,3T22,Ridge + Brent e Câmbio,10.0,344,17450.339872093024
H3,Validação,68,4T22,Ridge Contábil,0.1,348,17804.97964367816
H3,Validação,68,4T22,Ridge + Brent e Câmbio,10.0,348,17804.97964367816
H3,Teste,69,1T23,Ridge Contábil,0.1,352,18112.28953409091
H3,Teste,69,1T23,Ridge + Brent e Câmbio,10.0,352,18112.28953409091
H3,Teste,70,2T23,Ridge Contábil,0.1,356,18343.513808988766
H3,Teste,70,2T23,Ridge + Brent e Câmbio,10.0,356,18343.513808988766
H3,Teste,71,3T23,Ridge Contábil,0.1,360,18513.216433333335
H3,Teste,71,3T23,Ridge + Brent e Câmbio,10.0,360,18513.216433333335
H3,Teste,72,4T23,Ridge Contábil,0.1,364,18709.678340659342
H3,Teste,72,4T23,Ridge + Brent e Câmbio,10.0,364,18709.678340659342
H3,Teste,73,1T24,Ridge Contábil,0.1,368,18940.13020652174
H3,Teste,73,1T24,Ridge + Brent e Câmbio,10.0,368,18940.13020652174
H3,Teste,74,2T24,Ridge Contábil,0.1,372,19107.255150537636
H3,Teste,74,2T24,Ridge + Brent e Câmbio,10.0,372,19107.255150537636
H3,Teste,75,3T24,Ridge Contábil,0.1,376,19291.680627659574
H3,Teste,75,3T24,Ridge + Brent e Câmbio,10.0,376,19291.680627659574
H3,Teste,76,4T24,Ridge Contábil,0.1,380,19496.202410526315
H3,Teste,76,4T24,Ridge + Brent e Câmbio,10.0,380,19496.202410526315
H3,Teste,77,1T25,Ridge Contábil,0.1,384,19676.56488541667
H3,Teste,77,1T25,Ridge + Brent e Câmbio,10.0,384,19676.56488541667
H3,Teste,78,2T25,Ridge Contábil,0.1,388,19876.914731958765
H3,Teste,78,2T25,Ridge + Brent e Câmbio,10.0,388,19876.914731958765
H3,Teste,79,3T25,Ridge Contábil,0.1,392,20055.642642857143
H3,Teste,79,3T25,Ridge + Brent e Câmbio,10.0,392,20055.642642857143
H3,Teste,80,4T25,Ridge Contábil,0.1,396,20253.1311010101
H3,Teste,80,4T25,Ridge + Brent e Câmbio,10.0,396,20253.1311010101
H3,Teste,81,1T26,Ridge Contábil,0.1,400,20436.86479
H3,Teste,81,1T26,Ridge + Brent e Câmbio,10.0,400,20436.86479
H3,Teste,82,2T26,Ridge Contábil,0.1,404,20588.53692079208
H3,Teste,82,2T26,Ridge + Brent e Câmbio,10.0,404,20588.53692079208
H4,Validação,53,1T19,Ridge Contábil,0.1,275,15583.679007272727
H4,Validação,53,1T19,Ridge + Brent e Câmbio,100.0,275,15583.679007272727
H4,Validação,54,2T19,Ridge Contábil,0.1,281,15650.728565836298
H4,Validação,54,2T19,Ridge + Brent e Câmbio,100.0,281,15650.728565836298
H4,Validação,55,3T19,Ridge Contábil,0.1,287,15714.911940766551
H4,Validação,55,3T19,Ridge + Brent e Câmbio,100.0,287,15714.911940766551
H4,Validação,56,4T19,Ridge Contábil,0.1,293,15731.579273037543
H4,Validação,56,4T19,Ridge + Brent e Câmbio,100.0,293,15731.579273037543
H4,Validação,57,1T20,Ridge Contábil,0.1,297,15872.076521885521
H4,Validação,57,1T20,Ridge + Brent e Câmbio,100.0,297,15872.076521885521
H4,Validação,58,2T20,Ridge Contábil,0.1,301,15997.102083056478
H4,Validação,58,2T20,Ridge + Brent e Câmbio,100.0,301,15997.102083056478
H4,Validação,59,3T20,Ridge Contábil,0.1,305,15994.304022950819
H4,Validação,59,3T20,Ridge + Brent e Câmbio,100.0,305,15994.304022950819
