Etapa,Horizonte,Target_QID,Modelo,Config_Index,Seed
Teste,H2,76,Random Forest ampliada,,22761
Teste,H2,76,Gradient Boosting,,22762
Teste,H2,77,Random Forest ampliada,,22771
Teste,H2,77,Gradient Boosting,,22772
Teste,H2,78,Random Forest ampliada,,22781
Teste,H2,78,Gradient Boosting,,22782
Teste,H2,79,Random Forest ampliada,,22791
Teste,H2,79,Gradient Boosting,,22792
Teste,H2,80,Random Forest ampliada,,22801
Teste,H2,80,Gradient Boosting,,22802
Teste,H2,81,Random Forest ampliada,,22811
Teste,H2,81,Gradient Boosting,,22812
Teste,H2,82,Random Forest ampliada,,22821
Teste,H2,82,Gradient Boosting,,22822
Validação,H3,53,Random Forest ampliada,,23531
Validação,H3,53,Gradient Boosting,,23532
Validação,H3,54,Random Forest ampliada,,23541
Validação,H3,54,Gradient Boosting,,23542
Validação,H3,55,Random Forest ampliada,,23551
Validação,H3,55,Gradient Boosting,,23552
Validação,H3,56,Random Forest ampliada,,23561
Validação,H3,56,Gradient Boosting,,23562
Validação,H3,57,Random Forest ampliada,,23571
Validação,H3,57,Gradient Boosting,,23572
Validação,H3,58,Random Forest ampliada,,23581
Validação,H3,58,Gradient Boosting,,23582
Validação,H3,59,Random Forest ampliada,,23591
Validação,H3,59,Gradient Boosting,,23592
Validação,H3,60,Random Forest ampliada,,23601
Validação,H3,60,Gradient Boosting,,23602
Validação,H3,61,Random Forest ampliada,,23611
Validação,H3,61,Gradient Boosting,,23612
Validação,H3,62,Random Forest ampliada,,23621
Validação,H3,62,Gradient Boosting,,23622
Validação,H3,63,Random Forest ampliada,,23631
Validação,H3,63,Gradient Boosting,,23632
Validação,H3,64,Random Forest ampliada,,23641
Validação,H3,64,Gradient Boosting,,23642
Validação,H3,65,Random Forest ampliada,,23651
Validação,H3,65,Gradient Boosting,,23652
Validação,H3,66,Random Forest ampliada,,23661
Validação,H3,66,Gradient Boosting,,23662
Validação,H3,67,Random Forest ampliada,,23671
