Horizonte,Recorte,Segmento,N
H3,Teste,INTERNACIONAL,0
H3,Teste,REFINO / RTC,14
H4,Total elegível,TOTAL,401
H4,Total elegível,BIOCOMBUSTÍVEIS,27
H4,Total elegível,CORPORATIVO / OUTROS NEGÓCIOS,74
H4,Total elegível,DISTRIBUIÇÃO,47
H4,Total elegível,E&P,74
H4,Total elegível,GÁS & ENERGIA / G&EBC,74
H4,Total elegível,INTERNACIONAL,31
H4,Total elegível,REFINO / RTC,74
H4,Subtreino,TOTAL,227
H4,Subtreino,BIOCOMBUSTÍVEIS,16
H4,Subtreino,CORPORATIVO / OUTROS NEGÓCIOS,36
H4,Subtreino,DISTRIBUIÇÃO,36
H4,Subtreino,E&P,36
H4,Subtreino,GÁS & ENERGIA / G&EBC,36
H4,Subtreino,INTERNACIONAL,31
H4,Subtreino,REFINO / RTC,36
H4,Validação interna,TOTAL,48
H4,Validação interna,BIOCOMBUSTÍVEIS,8
H4,Validação interna,CORPORATIVO / OUTROS NEGÓCIOS,8
H4,Validação interna,DISTRIBUIÇÃO,8
H4,Validação interna,E&P,8
H4,Validação interna,GÁS & ENERGIA / G&EBC,8
H4,Validação interna,INTERNACIONAL,0
H4,Validação interna,REFINO / RTC,8
H4,Validação principal,TOTAL,70
H4,Validação principal,BIOCOMBUSTÍVEIS,3
H4,Validação principal,CORPORATIVO / OUTROS NEGÓCIOS,16
H4,Validação principal,DISTRIBUIÇÃO,3
H4,Validação principal,E&P,16
H4,Validação principal,GÁS & ENERGIA / G&EBC,16
H4,Validação principal,INTERNACIONAL,0
H4,Validação principal,REFINO / RTC,16
H4,Teste,TOTAL,56
H4,Teste,BIOCOMBUSTÍVEIS,0
H4,Teste,CORPORATIVO / OUTROS NEGÓCIOS,14
H4,Teste,DISTRIBUIÇÃO,0
H4,Teste,E&P,14
H4,Teste,GÁS & ENERGIA / G&EBC,14
H4,Teste,INTERNACIONAL,0
H4,Teste,REFINO / RTC,14
