Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Feature,Beta_Padronizado,Importancia_Normalizada,Rank_Importancia
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=DISTRIBUIÇÃO,781.999777908365,0.02499906921877636,12
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=E&P,919.1687885551535,0.029384105747817368,11
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=GÁS & ENERGIA / G&EBC,284.054350546793,0.009080685918105147,22
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=INTERNACIONAL,240.94886762952365,0.007702684310432221,25
H1,Validação,53,1T19,Ridge + Brent e Câmbio,10.0,296,Segmento=REFINO / RTC,2331.038363991687,0.07451893345662809,3
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Custo_t,14782.420714505864,0.43255403803567877,1
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Custo_t_1,-594.948441167384,0.017409012746975306,11
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Custo_t_4,3766.040962694058,0.110199557791137,2
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Receita_t,2381.2299591962856,0.06967807602249794,4
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Receita_t_1,-2645.3529743552003,0.07740668008211837,3
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Receita_t_4,-1593.3845977961682,0.04662463308490861,6
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Despesas_t,-1175.9217567144688,0.034409094024885845,8
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Despesas_t_1,276.4785094623077,0.008090142880364127,16
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Despesas_t_4,242.05924692105455,0.007082987740758368,17
H1,Validação,54,2T19,Ridge Contábil,0.1,302,EBIT_t,-315.4673359170597,0.009231009768608352,14
H1,Validação,54,2T19,Ridge Contábil,0.1,302,EBIT_t_1,-121.56530550648851,0.0035571686665819714,20
H1,Validação,54,2T19,Ridge Contábil,0.1,302,EBIT_t_4,1237.7537098027653,0.03621838233459618,7
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Trimestre_Sin,130.37603018032948,0.0038149826342192667,19
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Trimestre_Cos,-527.7685792370635,0.0154432372414707,12
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,351.60188681146303,0.010288356613475389,13
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=DISTRIBUIÇÃO,713.9544494864964,0.020891292844606824,10
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=E&P,878.5922861787294,0.025708823237636538,9
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=GÁS & ENERGIA / G&EBC,300.9797993592736,0.00880708444810178,15
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=INTERNACIONAL,221.1647146092587,0.0064715848792862045,18
H1,Validação,54,2T19,Ridge Contábil,0.1,302,Segmento=REFINO / RTC,1917.6762633821427,0.05611385492209254,5
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Custo_t,5472.852339037215,0.17179227927766935,1
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Custo_t_1,1913.1214712351784,0.060052688747739405,4
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Custo_t_4,1818.430673389409,0.05708035421707537,5
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Receita_t,3884.2657897603567,0.12192670878100054,2
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Receita_t_1,1313.072212715757,0.041217203444282195,9
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Receita_t_4,1734.6275875228944,0.05444978386003858,7
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Despesas_t,-1800.8889196030716,0.05652972034669166,6
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Despesas_t_1,-441.4671851451364,0.013857610120670959,20
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Despesas_t_4,-230.9700792575797,0.007250127338093662,26
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,EBIT_t,-1667.052857719612,0.05232861995220313,8
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,EBIT_t_1,-820.2366631909629,0.025747145581032516,12
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,EBIT_t_4,337.7486351140514,0.01060189536547447,21
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Trimestre_Sin,-47.394867608328376,0.0014877200823456655,29
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Trimestre_Cos,-512.082127040473,0.01607420597741102,18
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_t,657.6225391048556,0.02064270473576597,16
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_t_1,-988.8433755428213,0.031039693163548824,11
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_t_4,-119.93632913680099,0.003764789194775255,28
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_t,316.5495651959975,0.009936458713034139,22
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_t_1,-726.6752448710484,0.022810262159022054,14
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_t_4,261.27986197286316,0.008201548340251646,24
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_BRL_t,704.372818483945,0.022110191259039222,15
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Brent_Var_AA,565.2555347761553,0.017743313847673917,17
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,USD_BRL_Var_AA,506.9180162486549,0.01591210506395482,19
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,231.77389928514887,0.007275359167149266,25
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=DISTRIBUIÇÃO,817.9274803650165,0.025674660566571493,13
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=E&P,1020.7226655135603,0.0320403808391075,10
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=GÁS & ENERGIA / G&EBC,282.39098563686423,0.008864224368706215,23
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=INTERNACIONAL,229.45876966577933,0.007202687483446449,27
H1,Validação,54,2T19,Ridge + Brent e Câmbio,10.0,302,Segmento=REFINO / RTC,2433.4439333407877,0.0763855580062249,3
H1,Validação,55,3T19,Ridge Contábil,0.1,308,Custo_t,14478.102913980907,0.43442433104077505,1
