Horizonte,Bloco,Modelo,Segmento,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H4,Validação,Baseline Último,GÁS & ENERGIA / G&EBC,16,0.43979773829995333,4299.875,5742.128438131631,-0.5195633514590163,-1330.125,-0.1360472029201373,527552624.0,347173826.9375
H4,Validação,Baseline Último,REFINO / RTC,16,0.27296477590030555,22685.8125,28962.79555632536,0.09574818882452252,-16562.3125,-0.19928437299538332,13421496423.0,14842653624.9375
H4,Validação,Gradient Boosting,BIOCOMBUSTÍVEIS,3,5.587461660249194,1229.2415652548227,1229.6990047979614,-4145.690061428967,1229.2415652548227,5.587461660249194,4536478.92720329,1094.0
H4,Validação,Gradient Boosting,CORPORATIVO / OUTROS NEGÓCIOS,16,1.6505364634809967,1466.2953307449304,1706.7069414571881,-1.792637453968927,1062.8046546512016,1.1963468745194334,46605577.3442904,16688731.75
H4,Validação,Gradient Boosting,DISTRIBUIÇÃO,3,0.6092438560257883,8575.10727356297,13049.714743794186,-0.9419795999750931,8522.070250222367,0.6054756838523884,510885164.68319803,263074424.0
H4,Validação,Gradient Boosting,E&P,16,0.18875406828605332,5717.44330828943,7724.048721806693,-0.42493367046947195,-4229.408428518869,-0.13962850251069728,954574858.5094976,669908275.9375
H4,Validação,Gradient Boosting,GÁS & ENERGIA / G&EBC,16,0.3952617759748795,3864.4496798453984,5086.519475940763,-0.192379303813472,-496.5080184000763,-0.05078359336960846,413962886.0659951,347173826.9375
H4,Validação,Gradient Boosting,REFINO / RTC,16,0.3170253980608344,26347.64399335051,33794.79871682599,-0.23114203071281936,-25005.80061154285,-0.30087980142379817,18273414724.97254,14842653624.9375
H4,Validação,Random Forest ampliada,BIOCOMBUSTÍVEIS,3,0.6840377542401829,150.48830593284023,152.45485718140668,-62.73624354169043,150.48830593284023,0.6840377542401829,69727.45043460933,1094.0
H4,Validação,Random Forest ampliada,CORPORATIVO / OUTROS NEGÓCIOS,16,1.2011541181157874,1067.0752896811127,1517.9504632546432,-1.2090820497680883,188.47194226216624,0.21215358633703812,36866777.74231978,16688731.75
H4,Validação,Random Forest ampliada,DISTRIBUIÇÃO,3,0.6816343285040293,9594.003173694213,14246.597047623733,-1.3145411593187935,9594.003173694213,0.6816343285040293,608896582.3120838,263074424.0
H4,Validação,Random Forest ampliada,E&P,16,0.1973635669163594,5978.228788457052,7183.291313516323,-0.23239974063919422,-481.9788917003543,-0.015911915821630318,825594785.5174248,669908275.9375
H4,Validação,Random Forest ampliada,GÁS & ENERGIA / G&EBC,16,0.3621420722674533,3540.6404066793743,4894.126922654007,-0.10388405929500344,-848.1532000599611,-0.0867503960273819,383239653.3607485,347173826.9375
H4,Validação,Random Forest ampliada,REFINO / RTC,16,0.31906564414205557,26517.206677399336,34960.33305792904,-0.3175270874397682,-24781.657514978102,-0.2981828219736066,19555598200.34122,14842653624.9375
H4,Validação,Random Forest grade original,BIOCOMBUSTÍVEIS,3,1.094958577032566,240.89088694716452,261.74169384178435,-186.86667539807968,240.89088694716452,1.094958577032566,205526.14288549917,1094.0
H4,Validação,Random Forest grade original,CORPORATIVO / OUTROS NEGÓCIOS,16,1.273327295059838,1131.1921357487836,1574.8203064817092,-1.3777087772601,249.6871681103848,0.2810605522559559,39680943.96331431,16688731.75
H4,Validação,Random Forest grade original,DISTRIBUIÇÃO,3,0.6382022431409642,8982.69657220907,14120.205535266752,-1.2736555077453424,8982.69657220907,0.6382022431409642,598140613.0745335,263074424.0
H4,Validação,Random Forest grade original,E&P,16,0.19199703241771857,5815.674110634378,6877.489398709187,-0.12970356398511274,-588.1443629040555,-0.01941683288344896,756797766.869716,669908275.9375
H4,Validação,Random Forest grade original,GÁS & ENERGIA / G&EBC,16,0.38228136007125274,3737.5409648316336,4945.866280422093,-0.12734734548845905,-667.2151379758664,-0.0682437765379871,391385492.2210603,347173826.9375
H4,Validação,Random Forest grade original,REFINO / RTC,16,0.3231308842413496,26855.06446273406,35518.37501820225,-0.35992390127769025,-24905.680133366935,-0.2996751117575885,20184879422.938457,14842653624.9375
H4,Validação,Ridge + Brent e Câmbio,BIOCOMBUSTÍVEIS,3,11.244050302973731,2473.691066654221,2478.564481545718,-16845.29402882997,2473.691066654221,11.244050302973731,18429845.667539984,1094.0
H4,Validação,Ridge + Brent e Câmbio,CORPORATIVO / OUTROS NEGÓCIOS,16,2.2165619313091502,1969.1382057267665,3173.718375622136,-8.656804103414613,766.0385228674282,0.8622918507020438,161159813.24418575,16688731.75
H4,Validação,Ridge + Brent e Câmbio,DISTRIBUIÇÃO,3,0.5905953122294646,8312.629019629714,13085.457051571502,-0.952632076258265,7977.868052669898,0.5668112293193533,513687558.74556714,263074424.0
H4,Validação,Ridge + Brent e Câmbio,E&P,16,0.20422931676934206,6186.195355269458,7664.769118054655,-0.4031457796425941,-1692.759567197107,-0.05588428913240712,939978970.1293495,669908275.9375
H4,Validação,Ridge + Brent e Câmbio,GÁS & ENERGIA / G&EBC,16,0.3539030404722344,3460.0879077570066,5037.780684643273,-0.1696381354754024,-733.1988502528785,-0.07499269073294972,406067747.62503755,347173826.9375
H4,Validação,Ridge + Brent e Câmbio,REFINO / RTC,16,0.2798706580538759,23259.75302828344,30494.16031654088,-0.0024016857455297913,-19788.97259344705,-0.23810883869676533,14878301014.574348,14842653624.9375
H4,Validação,Ridge Contábil,BIOCOMBUSTÍVEIS,3,1.4739261932409522,324.26376251300945,348.7452874474378,-332.5190370661683,12.930429179676139,0.058774678089436996,364869.8265503881,1094.0
H4,Validação,Ridge Contábil,CORPORATIVO / OUTROS NEGÓCIOS,16,0.8793142195734626,781.1607698135748,1227.9646798617775,-0.4456674384384307,-295.73972278234544,-0.3328996457378308,24126356.079808608,16688731.75
H4,Validação,Ridge Contábil,DISTRIBUIÇÃO,3,0.6262117629873277,8813.930564046637,13808.246246838262,-1.1743010382490429,8466.904885304935,0.6015562973573666,572002993.2399689,263074424.0
H4,Validação,Ridge Contábil,E&P,16,0.3080971283065548,9332.396808899179,11152.4165773251,-1.9705892578236983,-4915.874557682371,-0.16229130258294788,1990022328.2271314,669908275.9375
H4,Validação,Ridge Contábil,GÁS & ENERGIA / G&EBC,16,0.4513801440063196,4413.115456690786,6110.96871006162,-0.7210485665821817,-712.8549747000249,-0.07291188827790142,597503017.2056348,347173826.9375
H4,Validação,Ridge Contábil,REFINO / RTC,16,0.2634018882872233,21891.05107104482,30493.23025673569,-0.002340540969638205,-18235.375209816833,-0.21941533315615824,14877393463.844816,14842653624.9375
H4,Teste,Baseline Sazonal,CORPORATIVO / OUTROS NEGÓCIOS,14,0.21568299615448921,92.14285714285714,136.08085831592922,-7.424833976690584,66.14285714285714,0.15482360809229226,259252.0,30772.35714285714
H4,Teste,Baseline Sazonal,E&P,14,0.12372538984654276,4558.785714285715,5460.865518787815,-0.49251987502084993,-863.0714285714286,-0.023423748264979335,417494731.0,279724738.0
H4,Teste,Baseline Sazonal,GÁS & ENERGIA / G&EBC,14,0.3845816129200857,2627.9285714285716,3781.874072467247,-22.274784024834815,1970.5,0.2883708775414206,200236001.0,8603130.357142856
H4,Teste,Baseline Sazonal,REFINO / RTC,14,0.13066557967214715,14150.214285714286,18257.377939186277,-2.2210345723886755,4399.785714285715,0.040628398919073654,4666645889.0,1448803415.2142859
H4,Teste,Baseline Último,CORPORATIVO / OUTROS NEGÓCIOS,14,0.21568299615448921,92.14285714285714,136.08085831592922,-7.424833976690584,66.14285714285714,0.15482360809229226,259252.0,30772.35714285714
H4,Teste,Baseline Último,E&P,14,0.12372538984654276,4558.785714285715,5460.865518787815,-0.49251987502084993,-863.0714285714286,-0.023423748264979335,417494731.0,279724738.0
H4,Teste,Baseline Último,GÁS & ENERGIA / G&EBC,14,0.3845816129200857,2627.9285714285716,3781.874072467247,-22.274784024834815,1970.5,0.2883708775414206,200236001.0,8603130.357142856
H4,Teste,Baseline Último,REFINO / RTC,14,0.13066557967214715,14150.214285714286,18257.377939186277,-2.2210345723886755,4399.785714285715,0.040628398919073654,4666645889.0,1448803415.2142859
H4,Teste,Gradient Boosting,CORPORATIVO / OUTROS NEGÓCIOS,14,3.552940727291238,1517.867034994921,1519.9255176923502,-1050.0221872346988,1517.867034994921,3.552940727291238,32342430.11065302,30772.35714285714
H4,Teste,Gradient Boosting,E&P,14,0.14009595407017375,5161.975523669622,5672.222408412424,-0.6102883925373253,-833.9346233820215,-0.022632975720078746,450437498.70694447,279724738.0
H4,Teste,Gradient Boosting,GÁS & ENERGIA / G&EBC,14,0.7534734352889196,5148.645441922464,6170.110282690371,-60.95229300057553,5148.645441922464,0.7534734352889196,532983652.6078602,8603130.357142856
H4,Teste,Gradient Boosting,REFINO / RTC,14,0.09101169790911261,9855.962305849356,12488.792853159604,-0.507160484353816,-1621.29663520086,-0.014971339683025036,2183579257.007826,1448803415.2142859
H4,Teste,Random Forest ampliada,CORPORATIVO / OUTROS NEGÓCIOS,14,0.18921035610356865,80.83336713253172,109.21417838090646,-4.426568847378388,21.374139917594416,0.05003142599002204,166988.3146318304,30772.35714285714
H4,Teste,Random Forest ampliada,E&P,14,0.20286294811974617,7474.688186420167,9002.17518467522,-3.0559452156074682,3214.774964719754,0.08724895415295429,1134548212.7781525,279724738.0
H4,Teste,Random Forest ampliada,GÁS & ENERGIA / G&EBC,14,0.6293080679310051,4300.1968799014,5166.542202740913,-42.43816740467828,4300.1968799014,0.6293080679310051,373704216.657841,8603130.357142856
H4,Teste,Random Forest ampliada,REFINO / RTC,14,0.08938834608729723,9680.164087240995,12910.717715355595,-0.6107173840511695,-4838.211276557643,-0.04467689804994436,2333612846.958355,1448803415.2142859
H4,Teste,Random Forest grade original,CORPORATIVO / OUTROS NEGÓCIOS,14,0.17637316318534058,75.34913492939442,158.00340998985706,-10.357956244149738,27.136569951385457,0.06351980928262772,349511.08595792006,30772.35714285714
H4,Teste,Random Forest grade original,E&P,14,0.19486406201520845,7179.9612290123705,8510.474575792141,-2.6249725080549076,3815.80192089832,0.10356081856642023,1013994485.0728619,279724738.0
H4,Teste,Random Forest grade original,GÁS & ENERGIA / G&EBC,14,0.6759277883375241,4618.759419379231,5464.124877694601,-47.58618109390037,4618.759419379231,0.6759277883375241,417993249.5065746,8603130.357142856
H4,Teste,Random Forest grade original,REFINO / RTC,14,0.10495755378535529,11366.205856918119,14766.89974840625,-1.1071586127239996,-7786.53983238709,-0.07190228503226967,3052858594.5127273,1448803415.2142859
H4,Teste,Ridge + Brent e Câmbio,CORPORATIVO / OUTROS NEGÓCIOS,14,5.122696894375578,2188.4892946614523,2943.5286456457425,-3940.883680382123,2188.4892946614523,5.122696894375578,121301052.42831883,30772.35714285714
H4,Teste,Ridge + Brent e Câmbio,E&P,14,0.2115015129271333,7792.984745313153,10913.222967730351,-4.960781693922121,6060.446625474237,0.16448044904397321,1667378097.6075616,279724738.0
H4,Teste,Ridge + Brent e Câmbio,GÁS & ENERGIA / G&EBC,14,0.7666858915253821,5238.928986626835,6736.08569421118,-72.83915857896642,5238.928986626835,0.7666858915253821,635247906.7165914,8603130.357142856
H4,Teste,Ridge + Brent e Câmbio,REFINO / RTC,14,0.1040295172077021,11265.705660372685,14690.754072006492,-1.0854834694129742,19.337531514331722,0.00017856618378560624,3021455572.8584547,1448803415.2142859
H4,Teste,Ridge Contábil,CORPORATIVO / OUTROS NEGÓCIOS,14,0.6996479893937214,298.89961604027485,373.49079514454485,-62.463946805946094,124.79722146446511,0.29211855885345456,1952935.236807861,30772.35714285714
H4,Teste,Ridge Contábil,E&P,14,0.20714827509975806,7632.585344325686,11637.622225003617,-5.778376229014731,3757.4794311937644,0.10197794689230213,1896079514.7265737,279724738.0
H4,Teste,Ridge Contábil,GÁS & ENERGIA / G&EBC,14,0.3960061444411041,2705.994843425587,4199.104407203538,-27.693589341162586,2652.3714532406693,0.3881586823328215,246854689.51634654,8603130.357142856
H4,Teste,Ridge Contábil,REFINO / RTC,14,0.13684018830446606,14818.883383551367,19593.7111488133,-2.7098126465755663,-444.66097852277017,-0.004106078066600037,5374789232.163829,1448803415.2142859
