Horizonte,Bloco,Modelo,WMAPE_Original,WMAPE_SGS3698,Diferenca_WMAPE,Arredondamento_0_1pp_Igual
H1,Teste,Baseline Sazonal,0.14061090262125414,0.14061090262125414,0.0,True
H1,Teste,Baseline Último,0.10623515124927528,0.10623515124927528,0.0,True
H1,Teste,Ridge + Brent e Câmbio,0.10813168389086075,0.10813104560233573,-6.382885250205694e-07,True
H1,Teste,Ridge Contábil,0.11653034711805549,0.11653034711805549,0.0,True
H1,Validação,Baseline Sazonal,0.27697739555801015,0.27697739555801015,0.0,True
H1,Validação,Baseline Último,0.14016282693597382,0.14016282693597382,0.0,True
H1,Validação,Ridge + Brent e Câmbio,0.17859138638734504,0.17859117408309833,-2.123042467105929e-07,True
H1,Validação,Ridge Contábil,0.16188210293448158,0.16188210293448158,0.0,True
H2,Teste,Baseline Sazonal,0.14061090262125414,0.14061090262125414,0.0,True
H2,Teste,Baseline Último,0.11972364040631853,0.11972364040631853,0.0,True
H2,Teste,Ridge + Brent e Câmbio,0.12353793588088513,0.1235376175563009,-3.183245842336424e-07,True
H2,Teste,Ridge Contábil,0.12853637622963637,0.12853637622963637,0.0,True
H2,Validação,Baseline Sazonal,0.27697739555801015,0.27697739555801015,0.0,True
H2,Validação,Baseline Último,0.20499526608544716,0.20499526608544716,0.0,True
H2,Validação,Ridge + Brent e Câmbio,0.2525844113359235,0.2525843124549528,-9.888097074473023e-08,True
H2,Validação,Ridge Contábil,0.23579746805078458,0.23579746805078458,0.0,True
H3,Teste,Baseline Sazonal,0.14061090262125414,0.14061090262125414,0.0,True
H3,Teste,Baseline Último,0.11640576922445992,0.11640576922445992,0.0,True
H3,Teste,Ridge + Brent e Câmbio,0.1390054744358545,0.13900458184448247,-8.925913720370104e-07,True
H3,Teste,Ridge Contábil,0.15190050915563266,0.15190050915563266,0.0,True
H3,Validação,Baseline Sazonal,0.27697739555801015,0.27697739555801015,0.0,True
H3,Validação,Baseline Último,0.25140833957947056,0.25140833957947056,0.0,True
H3,Validação,Ridge + Brent e Câmbio,0.2720665897322416,0.27206623358101806,-3.5615122356835727e-07,True
H3,Validação,Ridge Contábil,0.26645791431292537,0.26645791431292537,0.0,True
H4,Teste,Baseline Sazonal,0.14061090262125414,0.14061090262125414,0.0,True
H4,Teste,Baseline Último,0.14061090262125414,0.14061090262125414,0.0,True
H4,Teste,Ridge + Brent e Câmbio,0.17379433352466664,0.1737936084544728,-7.250701938299464e-07,True
H4,Teste,Ridge Contábil,0.1670367387200117,0.1670367387200117,0.0,True
H4,Validação,Baseline Sazonal,0.27697739555801015,0.27697739555801015,0.0,True
H4,Validação,Baseline Último,0.27697739555801015,0.27697739555801015,0.0,True
H4,Validação,Ridge + Brent e Câmbio,0.29111688606639907,0.2911168843995022,-1.6668968982891386e-09,True
H4,Validação,Ridge Contábil,0.30084922910314643,0.30084922910314643,0.0,True
